"","","","","","","","AVERAGE MONTHLY PRICES OF ESSENTIAL ITEMS, MAY 2012","","","","","","","","","","","","","",""
"33.0","TEA PREPARED (SADA)","","CUP","15.0","15.0","15.0","15.0","14.57","15.0","12.0","15.0","13.1","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","14.9"
"34.0","CIGARETTES K-2 (20's)","","20'S","30.0","30.0","28.0","28.0","28.0","30.0","29.6","28.0","28.0","30.0","30.0","30.0","30.0","30.0","30.4","30.0","30.0","29.41"
"35.0","LONG CLOTH","","MTR","132.5","125.0","92.5","95.0","177.5","95.0","157.5","225.0","135.0","140.0","160.0","150.0","148.0","150.0","100.0","110.0","105.0","135.18"
"36.0","SHIRTING","","MTR","125.0","122.5","130.0","125.0","87.5","125.0","130.0","130.0","91.0","92.69","100.0","85.0","90.0","148.33","91.5","125.0","130.0","113.44"
"37.0","LAWN","","MTR","146.25","133.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","160.0","210.0","220.0","181.0","250.0","122.5","105.0","105.0","157.35"
"38.0","GEORGETTE","","MTR","115.0","112.5","90.5","95.0","82.86","95.0","120.0","80.0","85.0","91.15","100.0","85.0","120.0","85.0","90.0","90.0","90.0","95.7"
"39.0","SANDAL GENTS BATA","","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","CHAPPAL SPNG.BATA","(GENTS)","PAIR","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","SANDAL LADIES BATA","","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","ELECTRIC CHARGES","","UNIT","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9"
"43.0","GAS CHARGES UPTO 100M3","","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","","LTR","120.0","120.0","115.0","115.0","112.0","117.5","109.0","116.5","118.0","118.0","117.0","115.0","120.0","115.67","116.0","109.0","110.0","115.51"
"45.0","FIREWOOD","","40KG","505.0","462.5","600.0","560.0","590.14","525.0","380.0","475.0","500.0","436.15","320.0","340.0","400.0","603.33","354.0","525.0","475.0","473.6"
"46.0","ENERGY SAVOR 14 WATS","","EACH","157.5","157.5","143.0","143.0","145.0","140.0","125.0","150.0","150.0","145.0","149.0","145.0","140.0","160.0","145.0","140.0","140.0","145.59"
"47.0","WASHING SOAP (200-250 GM.)","","CAKE","19.0","19.0","15.0","17.0","36.0","20.0","25.0","22.0","15.2","12.0","24.0","18.0","15.5","17.0","15.5","18.0","25.0","19.6"
"48.0","MATCH BOX","","EACH","1.0","1.0","1.0","1.0","1.0","1.0","1.2","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.07"
"49.0","PETROL","","LTR","103.7","103.7","103.9","105.3","103.72","103.9","104.9","104.7","106.15","103.7","104.4","103.8","104.8","104.2","107.1","103.6","104.3","104.46"
"50.0","DIESEL","","LTR","107.3","107.3","107.9","108.5","107.36","107.5","108.5","107.5","109.3","107.3","107.9","107.5","108.5","107.9","109.9","107.3","108.6","108.0"
"51.0","L.P.G.( 11 KG CYLENDER.)","","EACH","1264.0","1244.0","1155.0","1166.0","1155.0","1305.0","1330.0","1217.0","1276.0","1100.0","1155.0","1166.0","1225.4","1312.67","1210.0","1434.6","1444.0","1244.69"
"52.0","TELE. LOCAL CALL","","EACH","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","BATH SOAP LIFEBOUY (STANDARD)","","CAKE","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","31.2","32.0","32.0","32.0","32.0","31.95"
